"JobTitle","Sex","Race","JobType","StartYear"
"Trades Manager/Leader I","M","White","Permanent-Full Time",2001
"Building Maintenance Operations Supv","M","White","Permanent-Full Time",2001
"Administrative Assistant VI","F","White","Permanent-Full Time",1986
"Construction Management Specialist","F","White","Permanent-Full Time",2001
"Tax Auditor III","F","White","Permanent-Full Time",1989
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",2004
"Firefighter/EMT III","M","White","Permanent-Full Time",2002
"Tax Auditor II","F","Black or African American","Permanent-Full Time",2006
"Paralegal I B","F","White","Permanent-Full Time",2003
"AED Specialist II","F","Black or African American","Permanent-Full Time",1999
"Nutrition Assistant","F","Hispanic or Latino","Permanent-Full Time",1994
"Police Sergeant","M","White","Permanent-Full Time",1998
"Police Sergeant","M","White","Permanent-Full Time",2001
"Records Assistant IV","M","Black or African American","Permanent-Full Time",1993
"Cultural Affairs Specialist IV","M","White","Permanent-Full Time",1990
"Housing Planning Section Supervisor","F","White","Permanent-Full Time",2012
"DPR Program Manager","M","White","Permanent-Full Time",1976
"Design Engineer","M","White","Permanent-Full Time",1992
"Parks/Natural Resources Division Chief","M","White","Permanent-Full Time",1988
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",1993
"WSS Technician IV","M","Asian","Permanent-Full Time",1995
"Police Corporal","M","White","Permanent-Full Time",1988
"Fire/EMS Captain II","M","Hispanic or Latino","Permanent-Full Time",1990
"Business Systems Analyst II","M","White","Permanent-Full Time",1988
"Administrative Technician I","F","Asian","Permanent-Full Time",2008
"Retirement Officer","F","White","Permanent-Full Time",2005
"DPR Programmer II","M","White","Permanent-Full Time",1994
"Fire/EMS Captain I","M","White","Permanent-Full Time",2002
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",2004
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",1997
"Senior Trades Worker I","M","Black or African American","Permanent-Full Time",1969
"DPR Program Assistant","M","Hispanic or Latino","Permanent-Full Time",2003
"Arlington Employment Center Admin","M","White","Permanent-Full Time",2006
"Deputy Sheriff Lieutenant","M","White","Permanent-Full Time",1992
"Firefighter/EMT II","M","White","Permanent-Full Time",1991
"Library Assistant II","M","White","Permanent-Full Time",1987
"Fire/EMS Captain II","M","White","Permanent-Full Time",1992
"Deputy Sheriff Captain","M","White","Permanent-Full Time",1992
"Trades Manager/Leader I","M","Black or African American","Permanent-Full Time",2002
"Trades Manager/Leader II","M","Black or African American","Permanent-Full Time",1996
"Police Corporal","M","White","Permanent-Full Time",2001
"Cartographer II","M","White","Permanent-Full Time",1995
"Fire Marshal I","M","White","Permanent-Full Time",2000
"Court Specialist II","F","Black or African American","Permanent-Full Time",2003
"Commonwealth Atty III","F","White","Permanent-Full Time",2002
"Cartographer I","M","White","Permanent-Full Time",2003
"Accounting Technician II","F","Black or African American","Permanent-Full Time",2005
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1992
"Employment Services Section Supervisor","F","Black or African American","Permanent-Full Time",2001
"Neighborhood Services Division Chief","M","Black or African American","Permanent-Full Time",2004
"Deputy Sheriff Lieutenant","M","Black or African American","Permanent-Full Time",2000
"Planner, Associate","M","Black or African American","Permanent-Full Time",2001
"Real Estate Records/Research Coord","F","Black or African American","Permanent-Full Time",2002
"Senior Trades Worker IV","M","Black or African American","Permanent-Full Time",2003
"Nurse Practitioner","F","White","Permanent-Part Time",2001
"Clinic Aide I","F","White","Permanent-Part Time",1985
"Construction Codes Supervisor","M","Black or African American","Permanent-Full Time",1998
"Management Analyst","F","Black or African American","Permanent-Full Time",2004
"Police Corporal","M","Hispanic or Latino","Permanent-Full Time",2006
"Police Corporal","M","White","Permanent-Full Time",1989
"Mental Health Therapist II (Licensed)","F","Black or African American","Permanent-Full Time",1985
"Police Corporal","M","White","Permanent-Full Time",2002
"Administrative Assistant IV","M","Black or African American","Permanent-Full Time",2005
"School Crossing Guard I","M","White","Permanent-Part Time",2002
"Design Engineer","F","Black or African American","Permanent-Part Time",2003
"Business Systems Analyst II","F","Black or African American","Permanent-Full Time",1988
"Commissioner Of The Revenue Chief Deputy (Admin)","F","Asian","Permanent-Full Time",2004
"Urban Forester","M","White","Permanent-Full Time",2001
"Public Health Nurse Supervisor","F","Hispanic or Latino","Permanent-Full Time",2000
"Police Corporal","M","Hispanic or Latino","Permanent-Full Time",1993
"Deputy Sheriff Sergeant","F","Hispanic or Latino","Permanent-Full Time",2002
"Police Corporal","M","White","Permanent-Full Time",1991
"Commissioner Of The Revenue","F","Asian","Permanent-Full Time",1996
"Mental Health Therapist II","M","Hispanic or Latino","Permanent-Full Time",1990
"Police Corporal","F","White","Permanent-Full Time",1993
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",2000
"Deputy Sheriff Sergeant","M","White","Permanent-Full Time",2004
"Police Lieutenant","M","White","Permanent-Full Time",1997
"Deputy Sheriff Lieutenant","M","Black or African American","Permanent-Full Time",1995
"Emergency Management Specialist II","M","White","Permanent-Full Time",2005
"Fire/EMS Captain I","M","White","Permanent-Full Time",2002
"Cultural Affairs Specialist II","M","White","Permanent-Full Time",2000
"AED Specialist V","F","White","Permanent-Full Time",2002
"Management Specialist","M","White","Permanent-Full Time",2003
"Firefighter/EMT II","M","White","Permanent-Full Time",2014
"Firefighter/EMT II","F","Black or African American","Permanent-Full Time",1994
"Police Corporal","F","White","Permanent-Full Time",1985
"Management Specialist","F","Asian","Permanent-Full Time",1999
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",2006
"Health Educator","F","Black or African American","Permanent-Full Time",1997
"Lead Gymnastics Instructor","F","White","Permanent-Full Time",2004
"Public Health Planning Officer","F","White","Permanent-Full Time",1995
"Human Services Clinical Supervisor","F","White","Permanent-Full Time",2001
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",1992
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",1987
"Sr Staff Program Manager","F","White","Permanent-Full Time",2013
"Real Estate Assistant Bureau Chief","M","White","Permanent-Full Time",2004
"Emergency Management Specialist I","F","White","Permanent-Full Time",2005
"Management Analyst","F","White","Permanent-Full Time",2006
"Firefighter/EMT II","M","White","Permanent-Full Time",2006
"Deputy County Manager","F","White","Permanent-Full Time",2006
"Police Corporal","M","White","Permanent-Full Time",2004
"Mental Health Therapist II","M","White","Permanent-Full Time",1991
"Firefighter/EMT III","M","White","Permanent-Full Time",2004
"Police Lieutenant","M","White","Permanent-Full Time",1991
"Fire Inspector","M","Black or African American","Permanent-Full Time",2002
"Engineering Tech IV","F","White","Permanent-Full Time",2002
"Human Services Clinical Supervisor","F","Black or African American","Permanent-Full Time",2002
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",1991
"Police Captain","M","White","Permanent-Full Time",1993
"Fire/EMS Captain I","M","White","Permanent-Full Time",2004
"Communications Specialist II","F","White","Permanent-Full Time",2002
"Development Specialist, Associate","M","White","Permanent-Full Time",2003
"Management Specialist","M","White","Permanent-Full Time",1997
"Police Lieutenant","M","White","Permanent-Full Time",1987
"Real Estate Specialist","M","White","Permanent-Full Time",2004
"Public Health Nurse","F","Asian","Permanent-Full Time",2001
"DPR Programmer II","F","White","Permanent-Full Time",1994
"Firefighter/EMT III","M","White","Permanent-Full Time",2002
"Management Specialist","F","Hispanic or Latino","Permanent-Full Time",1987
"Fire/EMS Captain I","M","Hispanic or Latino","Permanent-Full Time",1994
"Probation Counselor Supervisor","M","Black or African American","Permanent-Full Time",2005
"Trades Manager/Leader II","M","White","Permanent-Full Time",2004
"Fire/EMS Captain I","M","White","Permanent-Full Time",1994
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",1995
"DPR Programmer I","M","Black or African American","Permanent-Full Time",1987
"Administrative Technician I","F","White","Permanent-Full Time",2005
"Public Health Nurse","F","Black or African American","Permanent-Full Time",2002
"Police Sergeant","M","White","Permanent-Full Time",2002
"Police Corporal","M","White","Permanent-Full Time",2008
"Deputy Sheriff Sergeant","M","Black or African American","Permanent-Full Time",1995
"Police Corporal","F","White","Permanent-Full Time",2004
"Police Corporal","M","White","Permanent-Full Time",2000
"Management Analyst","M","White","Permanent-Full Time",2005
"Chief Environmental Officer","M","White","Permanent-Full Time",2006
"Employment Services Specialist","F","Black or African American","Permanent-Full Time",1996
"Design Engineer","M","Asian","Permanent-Full Time",2005
"Emergency Communications Technician III","F","White","Permanent-Full Time",2016
"AED Specialist III","M","White","Permanent-Full Time",2003
"Police Corporal","F","White","Permanent-Full Time",1995
"Fire/EMS Captain II","M","White","Permanent-Full Time",2000
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",1995
"Deputy Sheriff Captain","F","White","Permanent-Full Time",1998
"Police Officer","M","White","Permanent-Full Time",2003
"Police Corporal","M","White","Permanent-Full Time",1998
"Firefighter/EMT III","F","White","Permanent-Full Time",2004
"Behavioral Specialist","F","White","Permanent-Full Time",1993
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2000
"Deputy Sheriff Sergeant","M","Black or African American","Permanent-Full Time",2005
"Safety Specialist II","F","Black or African American","Permanent-Full Time",2003
"Investigator HR/EEO","F","White","Permanent-Full Time",2003
"Construction Codes Inspector III","M","White","Permanent-Full Time",2003
"School Crossing Guard I","F","White","Permanent-Part Time",1981
"Commonwealth Atty III","M","White","Permanent-Full Time",1998
"Project Management Coordinator","M","White","Permanent-Full Time",1996
"Cultural Affairs Specialist III","F","White","Permanent-Full Time",2004
"Administrative Assistant IV","F","Hispanic or Latino","Permanent-Full Time",1996
"Police Corporal","M","White","Permanent-Full Time",2003
"Fire/EMS Captain I","M","Black or African American","Permanent-Full Time",1996
"Personal Trainer II","F","Black or African American","Limited Term Full Time",1995
"Construction Plans Examiner II","F","White","Permanent-Full Time",2013
"Human Resources Director","F","White","Permanent-Full Time",1999
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1992
"Planner, Principal","F","Hispanic or Latino","Permanent-Full Time",2004
"Police Sergeant","M","White","Permanent-Full Time",2000
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2005
"Rehab Therapist","F","White","Permanent-Full Time",1999
"Planner, Associate","M","White","Permanent-Full Time",2001
"Management Analyst","M","Black or African American","Permanent-Full Time",2005
"Permit Processing Specialist III","M","Hispanic or Latino","Permanent-Full Time",2000
"Environmental Management Specialist, Principal","M","White","Permanent-Full Time",2012
"Senior Management Analyst","F","Black or African American","Permanent-Full Time",2004
"Office Aide I","M","Hispanic or Latino","Permanent-Part Time",1999
"WSS Equipment Operator I","F","Black or African American","Permanent-Full Time",1988
"Police Sergeant","M","White","Permanent-Full Time",1990
"WSS Equipment Operator I","M","Black or African American","Permanent-Full Time",1991
"Trades Manager/Leader I","M","Asian","Permanent-Full Time",2004
"Fire/EMS Captain I","M","Black or African American","Permanent-Full Time",2003
"DPR Programmer I","F","Black or African American","Permanent-Full Time",1985
"Personal Trainer II","F","White","Permanent-Full Time",1992
"Library Assistant II","F","White","Permanent-Full Time",2012
"Police Lieutenant","M","White","Permanent-Full Time",1992
"Public Health Nurse","F","Black or African American","Permanent-Full Time",2002
"Deputy Sheriff Lieutenant","M","Black or African American","Permanent-Full Time",1999
"Human Services Clinical Supervisor","F","White","Permanent-Full Time",2004
"Human Resources/OD Specialist","F","White","Permanent-Part Time",2006
"Cultural Affairs Specialist II","M","Hispanic or Latino","Permanent-Part Time",2005
"Deputy Sheriff Corporal","M","Asian","Permanent-Full Time",1989
"Police Lieutenant","M","White","Permanent-Full Time",2001
"Process Control Systems Technician","M","Hispanic or Latino","Permanent-Full Time",2003
"Trades Worker III","M","Black or African American","Permanent-Full Time",2003
"Deputy Sheriff Corporal","M","Asian","Permanent-Full Time",2002
"Planner, Associate","F","White","Permanent-Full Time",2006
"Paralegal I B","F","Hispanic or Latino","Permanent-Full Time",1998
"Sr WSS Technician II","M","Black or African American","Permanent-Full Time",1988
"Library Associate","F","Hispanic or Latino","Permanent-Part Time",1988
"WSS Technician IV","M","Asian","Permanent-Full Time",1999
"Administrative Assistant V","M","Black or African American","Permanent-Full Time",1998
"Police Corporal","M","Hispanic or Latino","Permanent-Full Time",1996
"Comm Revenue Assistant Deputy","F","Black or African American","Permanent-Full Time",2002
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",1987
"Records Assistant IV","F","Hispanic or Latino","Permanent-Full Time",1985
"Probation Counselor Supervisor","M","Black or African American","Permanent-Full Time",2000
"Library Assistant II","F","Asian","Permanent-Part Time",2000
"Administrative Specialist","F","Black or African American","Permanent-Full Time",2002
"DHS Administrative Program Manager","F","White","Permanent-Full Time",2003
"Public Health Nurse","F","White","Permanent-Part Time",2003
"Administrative Assistant VI","F","Black or African American","Permanent-Full Time",2005
"Inmate Services Counselor I","F","Black or African American","Permanent-Full Time",2001
"Police Sergeant","M","White","Permanent-Full Time",2001
"Human Resources/OD Specialist","F","White","Permanent-Full Time",1993
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2003
"Sr IT Analyst","M","White","Permanent-Full Time",2005
"Development Specialist, Principal","F","White","Permanent-Full Time",2003
"Police Sergeant","F","Black or African American","Permanent-Full Time",1991
"Deputy Sheriff","M","White","Permanent-Full Time",2005
"DPR Program Specialist","F","White","Permanent-Full Time",2005
"Librarian","F","White","Permanent-Full Time",1990
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2001
"Construction Management Specialist","F","Black or African American","Permanent-Full Time",2005
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1998
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",1991
"Emergency Communications Technician III","F","White","Permanent-Part Time",2014
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",1996
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",1999
"Senior Trades Worker I","M","Hispanic or Latino","Permanent-Full Time",2003
"Construction Codes Manager","F","White","Permanent-Full Time",1996
"Meter Collector I","M","Asian","Permanent-Full Time",2003
"Management Analyst","F","White","Permanent-Full Time",2001
"Staff Human Resources/OD Specialist","F","White","Permanent-Part Time",2012
"Sr IT Analyst","F","White","Permanent-Full Time",2006
"Human Services Clinician II","M","Hispanic or Latino","Permanent-Full Time",1994
"Eligibility Supervisor","F","Black or African American","Permanent-Full Time",1997
"Human Services Clinical Supervisor","M","Black or African American","Permanent-Full Time",2006
"Human Resources/OD Specialist","F","White","Permanent-Full Time",2005
"Police Lieutenant","M","White","Permanent-Full Time",1997
"Human Services Clinician II","F","Asian","Permanent-Full Time",2004
"Police Sergeant","M","Asian","Permanent-Full Time",2000
"Deputy Sheriff Lieutenant","F","Black or African American","Permanent-Full Time",1986
"Library Assistant II","M","White","Permanent-Part Time",2003
"Police Lieutenant","M","White","Permanent-Full Time",1994
"Senior Trades Worker I","M","Hispanic or Latino","Permanent-Full Time",1988
"DPR Program Specialist","F","Hispanic or Latino","Permanent-Full Time",1998
"Records Assistant IV","F","Hispanic or Latino","Permanent-Full Time",2000
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",2000
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2003
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2004
"Housing Division Chief","M","White","Permanent-Full Time",2004
"Clinic Aide I","F","White","Permanent-Full Time",1999
"Park Manager","M","White","Permanent-Full Time",2003
"Police Lieutenant","F","White","Permanent-Full Time",1990
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Police Lieutenant","M","White","Permanent-Full Time",1995
"Infant Development Specialist","F","Hispanic or Latino","Permanent-Full Time",2001
"Design Engineer","M","Asian","Permanent-Full Time",1997
"Deputy Sheriff Major","M","White","Permanent-Full Time",1992
"DPR Programmer I","M","Hispanic or Latino","Permanent-Full Time",1994
"Police Officer","M","Black or African American","Permanent-Full Time",2005
"Zoning Inspector I","M","White","Permanent-Full Time",2001
"Administrative Assistant VI","F","Black or African American","Permanent-Full Time",2004
"Staff Admin/Management Specialist","F","Hispanic or Latino","Permanent-Full Time",1998
"DPR Program Assistant","M","White","Permanent-Full Time",2004
"Business Systems Analyst I","M","Hispanic or Latino","Permanent-Full Time",2000
"Police Corporal","M","White","Permanent-Full Time",2006
"Real Estate Bureau Chief","M","White","Permanent-Full Time",2002
"WSS Technician V","M","Black or African American","Permanent-Full Time",1993
"Fire/EMS Captain II","M","White","Permanent-Full Time",1996
"Emergency Communications Supervisor","F","White","Permanent-Full Time",2014
"Firefighter/EMT III","M","White","Permanent-Full Time",2006
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",1993
"Commonwealth Attorney","F","White","Permanent-Full Time",1987
"Automation Services Bureau Chief","M","White","Permanent-Full Time",2001
"Motorized Vehicle Operator III","M","Black or African American","Permanent-Full Time",2004
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",1995
"Trades Manager/Leader I","M","Black or African American","Permanent-Full Time",1987
"Police Officer","M","White","Permanent-Full Time",2005
"Trades Manager/Leader II","M","White","Permanent-Full Time",2006
"DES Operating Engineer/Manager","F","White","Permanent-Full Time",2008
"Business Tax Insp II","M","White","Permanent-Full Time",2004
"Deputy Sheriff Major","F","White","Permanent-Full Time",2005
"Police Sergeant","M","White","Permanent-Full Time",1995
"Office Aide I","F","Asian","Permanent-Part Time",1996
"Custodial Worker II","M","Hispanic or Latino","Permanent-Full Time",1999
"Public Safety Support Supervisor","F","Black or African American","Permanent-Full Time",2004
"Trades Manager/Leader I","M","White","Permanent-Full Time",1997
"Trades Manager/Leader II","M","White","Permanent-Full Time",1994
"Real Estate Appraiser Supervisor","F","Black or African American","Permanent-Full Time",1997
"Police Corporal","M","White","Permanent-Full Time",2002
"Management Specialist","M","White","Permanent-Full Time",2005
"Building Engineer I","M","White","Permanent-Full Time",2005
"County Attorney III","M","White","Permanent-Full Time",1999
"Management Specialist","F","Black or African American","Permanent-Full Time",2001
"Police Lieutenant","F","Black or African American","Permanent-Full Time",2001
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1999
"Court Assistant","F","Asian","Permanent-Full Time",1998
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",1995
"Transportation Program Manager","F","White","Permanent-Full Time",2005
"Construction Codes Inspector III","M","White","Permanent-Full Time",1988
"Firefighter/EMT II","M","White","Permanent-Full Time",2001
"Senior Trades Worker III","M","White","Permanent-Full Time",2005
"Firefighter/EMT III","M","White","Permanent-Full Time",2002
"Public Service Aide II","M","Black or African American","Permanent-Full Time",2007
"Probation Counselor Supervisor","F","Black or African American","Permanent-Full Time",1997
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1999
"Treasurer Compliance Deputy","F","Black or African American","Permanent-Full Time",1988
"Deputy Sheriff Sergeant","F","Black or African American","Permanent-Full Time",2004
"Solid Waste Bureau Chief","M","White","Permanent-Full Time",1993
"Library Assistant II","M","White","Permanent-Full Time",2004
"Police Captain","F","White","Permanent-Full Time",2002
"Human Services Specialist","F","Hispanic or Latino","Permanent-Full Time",2004
"Equipment Mechanic II","M","Black or African American","Permanent-Full Time",2001
"Administrative Technician I","M","White","Permanent-Full Time",2014
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2005
"Management Specialist","F","Black or African American","Permanent-Full Time",2003
"Records Assistant IV","F","Black or African American","Permanent-Full Time",1999
"Administrative Assistant IV","M","Black or African American","Permanent-Full Time",1987
"General Registrar","F","White","Permanent-Full Time",1992
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",1989
"WSS Technician IV","M","Asian","Permanent-Full Time",2002
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",2001
"Sr Infrastructure Support Specialist","M","Black or African American","Permanent-Full Time",1997
"Probation Counselor Supervisor","F","White","Permanent-Full Time",1998
"Clinical Services Bureau Chief","F","White","Permanent-Full Time",2005
"Assistance Payments Supervisor","F","Black or African American","Permanent-Full Time",2002
"Administrative Assistant IV","F","Black or African American","Permanent-Full Time",2005
"Police Lieutenant","M","White","Permanent-Full Time",1993
"Planning Supervisor","F","White","Permanent-Full Time",2001
"Construction Codes Inspector III","M","White","Permanent-Full Time",2006
"Construction Plans Examiner II","M","White","Permanent-Full Time",2000
"Asst Registrar IV","F","Hispanic or Latino","Permanent-Full Time",1989
"Eligibility Supervisor","F","Black or African American","Permanent-Full Time",2002
"Tax Specialist I","M","Hispanic or Latino","Permanent-Full Time",2017
"Custodial Worker II","M","Black or African American","Permanent-Full Time",1994
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",1995
"Inmate Services Counselor I","M","Black or African American","Permanent-Full Time",1992
"Emergency Communications Coordinator (Staffing)","F","Black or African American","Permanent-Full Time",2001
"Administrative Specialist","F","Black or African American","Permanent-Full Time",1995
"Administrative Assistant VI","F","Hispanic or Latino","Permanent-Full Time",1981
"Planning Supervisor","F","Black or African American","Permanent-Full Time",1991
"Motorized Vehicle Operator IV","M","Black or African American","Permanent-Full Time",2003
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2005
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1995
"Community Codes Inspector III","M","Asian","Permanent-Full Time",1993
"Fire Marshal I","M","White","Permanent-Full Time",2005
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",1986
"Inmate Services Counselor I","F","Black or African American","Permanent-Full Time",2005
"Lead Gymnastics Instructor","F","Black or African American","Permanent-Full Time",2008
"Psychiatric Nurse","M","Hispanic or Latino","Permanent-Full Time",2014
"Nutrition Assistant","F","Hispanic or Latino","Permanent-Full Time",1988
"WSS Technician IV","M","Hispanic or Latino","Permanent-Full Time",2011
"Legislative Liaison","F","White","Permanent-Full Time",2004
"Clinic Aide I","F","Hispanic or Latino","Permanent-Part Time",2005
"WSS Technician V","M","Black or African American","Permanent-Full Time",1999
"Staff Infrastructure Support Specialist","F","Black or African American","Permanent-Full Time",1999
"Staff Accounting/Auditing Specialist","M","Black or African American","Permanent-Full Time",1998
"Staff Support Technician","F","Black or African American","Permanent-Full Time",1999
"Sr WSS Technician","F","Black or African American","Permanent-Full Time",1993
"WSS Equipment Operator I","M","Black or African American","Permanent-Full Time",2001
"Budget & Management Division Chief","M","White","Permanent-Full Time",1993
"Technology Program Manager","M","Black or African American","Permanent-Full Time",2003
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2000
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",1990
"Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",1991
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2000
"Services Assistant IV","F","Black or African American","Permanent-Full Time",2002
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",1996
"Administrative Technician II","F","Hispanic or Latino","Permanent-Full Time",1990
"Tax Specialist II","F","Black or African American","Permanent-Full Time",1994
"Paralegal II","F","Black or African American","Permanent-Full Time",1990
"WSS Technician II","M","Black or African American","Permanent-Full Time",1997
"Electrical Power Technician (Licensed)","M","Black or African American","Permanent-Full Time",1983
"Administrative Technician I","F","Asian","Permanent-Full Time",1996
"Nurse Practitioner","F","White","Permanent-Full Time",1991
"Inmate Services Counselor I","F","Black or African American","Permanent-Full Time",1998
"Custodial Worker II","M","Black or African American","Permanent-Full Time",1997
"Custodial Worker II","M","Black or African American","Permanent-Full Time",2001
"Administrative Technician II","F","Black or African American","Permanent-Full Time",2001
"Police Corporal","M","Asian","Permanent-Full Time",1990
"WSS Technician V","M","Black or African American","Permanent-Full Time",1999
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",1992
"Trades Worker II","M","Hispanic or Latino","Permanent-Full Time",1999
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",2001
"DHS Clinical Psychologist Senior","F","White","Permanent-Part Time",2004
"Auto Mechanic II","M","Black or African American","Permanent-Full Time",1990
"WSS Equipment Operator I","M","Black or African American","Permanent-Full Time",2001
"Police Sergeant","M","Black or African American","Permanent-Full Time",1996
"Eligibility Supervisor","M","White","Permanent-Full Time",1981
"Staff Infrastructure Support Specialist","M","Black or African American","Permanent-Full Time",1992
"GIS Analyst","M","Black or African American","Permanent-Full Time",2002
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",1991
"Police Sergeant","M","Hispanic or Latino","Permanent-Full Time",1988
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",1997
"Emergency Communications Watch Officer","M","Hispanic or Latino","Permanent-Full Time",2018
"Administrative Assistant V","F","Hispanic or Latino","Permanent-Full Time",2005
"Probation Counselor II","M","Hispanic or Latino","Permanent-Full Time",1994
"Fire/EMS Captain II","M","Hispanic or Latino","Permanent-Full Time",1996
"Senior Trades Worker II","M","Black or African American","Permanent-Full Time",1999
"Planner, Associate","F","Black or African American","Permanent-Full Time",1998
"WSS Technician V","M","Black or African American","Permanent-Full Time",2003
"Engineering Support Associate III","F","Black or African American","Permanent-Full Time",2001
"Finance and Information Systems Division Chief","F","Black or African American","Permanent-Full Time",1984
"Eligibility Worker","F","Hispanic or Latino","Permanent-Part Time",1990
"Wastewater Maintenance Technician","M","Hispanic or Latino","Permanent-Full Time",1992
"Environmental Health Specialist I","M","Hispanic or Latino","Permanent-Full Time",1997
"Human Services Clinician II","F","Hispanic or Latino","Permanent-Full Time",1999
"Water/Sewer Records Coordinator","M","Hispanic or Latino","Permanent-Full Time",1995
"Probation Counselor II","M","Hispanic or Latino","Permanent-Full Time",2005
"Deputy Fire Chief","M","Black or African American","Permanent-Full Time",1989
"Planner, Associate","F","Black or African American","Permanent-Full Time",2000
"Design Engineer","M","Asian","Permanent-Full Time",1986
"Diversity Coordinator","M","Hispanic or Latino","Permanent-Full Time",2004
"Human Resources Administrative Specialist","F","Hispanic or Latino","Permanent-Full Time",1993
"Mental Health Supervisor","M","Hispanic or Latino","Permanent-Full Time",2003
"Firefighter/EMT II","M","White","Permanent-Full Time",2004
"Business Systems Analyst II","F","Asian","Permanent-Full Time",2001
"Accountant II","F","Asian","Permanent-Full Time",1983
"Tree Maintenance Worker","M","Black or African American","Permanent-Full Time",1989
"Fire/EMS Captain I","M","Black or African American","Permanent-Full Time",1988
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",1990
"Traffic Signal Field Technician","M","Asian","Permanent-Full Time",1988
"Public Service Aide II","F","Black or African American","Permanent-Full Time",2006
"Budget and Finance Specialist","F","Hispanic or Latino","Permanent-Full Time",2000
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2005
"Treasury Specialist II","F","Asian","Permanent-Full Time",1989
"WSS Technician III","M","Asian","Permanent-Full Time",2002
"Police Corporal","M","Asian","Permanent-Full Time",1991
"Human Resources Section Manager","F","Asian","Permanent-Full Time",1996
"Warehouse Technician I","M","Black or African American","Permanent-Full Time",2006
"Deputy Sheriff Sergeant","M","Black or African American","Permanent-Full Time",1998
"Custodial Worker II","M","Hispanic or Latino","Permanent-Full Time",1987
"ASAP Case Manager Senior","F","Hispanic or Latino","Permanent-Full Time",1999
"Trades Manager/Leader I","M","Black or African American","Permanent-Full Time",1993
"Emergency Communications Systems Spec","F","Hispanic or Latino","Permanent-Full Time",2005
"Housing Specialist I","F","Hispanic or Latino","Permanent-Full Time",1998
"Library Assistant II","M","Asian","Permanent-Full Time",1995
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2004
"Network Analyst","M","Black or African American","Permanent-Full Time",2002
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",1990
"Librarian","F","Hispanic or Latino","Permanent-Full Time",1999
"Public Safety Technology Specialist","M","Asian","Permanent-Full Time",2002
"Human Services Clinician II","M","Black or African American","Permanent-Full Time",2007
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2003
"Custodial Worker II","M","Hispanic or Latino","Permanent-Full Time",2000
